Index,Size,Active,Method,Train Loss,Test Loss
1,25,relu,simple,128.4,146.44
2,25,relu,rprop,145.67,163.71
3,25,relu,quickprop,193.94,207.04
4,50,relu,simple,88.09,111.61
5,50,relu,rprop,136.97,158.95
6,50,relu,quickprop,156.11,200.17
7,75,relu,simple,81.46,113.13
8,75,relu,rprop,114.91,136.59
9,75,relu,quickprop,217.67,201.76
10,25,tanh,simple,159.52,355.32
11,25,tanh,rprop,571.1,712.18
12,25,tanh,quickprop,1110.35,1107.73
13,50,tanh,simple,76.86,223.03
14,50,tanh,rprop,258.27,378.02
15,50,tanh,quickprop,640.9,703.96
16,75,tanh,simple,65.93,216.41
17,75,tanh,rprop,219.0,356.94
18,75,tanh,quickprop,648.61,694.34
